rating,rating_title,rating_descriptions
5.0,Great culture great benefit,"Great company to work with, hoping to stay for a long time.Awesome perks and benefit (6 months paid maternity leave) Free breakfast (many cafes), lunch (many cafes) and dinner (limited cafes) Very good and mostly laid back culture, except for GCP Great salary"
1.0,Run!!!! Never work here their turnover rate is horrible ,"Google the name is great but management is horrible and racist. I don't have much to say. The interview process was horrible, the pay was beyond horrible. If you're a minority keep looking because if you do get on board your pay will be the lowest and the engineers who are racist will make up anything to get you fired. "
5.0,Excelente,"El trabajo es muy bueno, saben dividir entre el trabajo y lo personal así que no te tienes que preocupar por la sobrecarga de trabajo o un trato injusto."
4.0,Buena,Es una empresa muy buena con un buen ambiente laboral
3.0,"Wonderful place, great people, poor management ",The GCCs were a great place to work before COVID-19 came and they could not bounce back. Now the teachers are over works and INCREDIBLY under paid. Not given any time off to take care of our selves even though they insist on work life balance. 
5.0,Ambiente laboral bueno,"Mi desarollo en google fue bueno, me gustaron los servicios que brinda google"
5.0,Ambiente laboral tranquilo y organizado,"Me gustaron las instalaciones, son muy lindas y limpias, asi como el hecho de que haya salas para todo ya sea para descansos, para cambiar de ambiente y trabajar en otra parte como distintas zonas para comer "
4.0,Super ,"C'est pas mal bien payé et un bon esprit d'équipe, et de bon collaborateurs "
5.0,Everything and more,My experience at working with Google through Adecco staffing has been amazing. Every employee has a voice here and the leads go above and beyond to keep the environment respectful yet fun. This role has definitely bolstered my professional profile!
1.0,Free food,Managers pretend to offer support and training but its of poor quality to use as an excuse for your failure to advance and fire you. Coworkers are not as helpful to offer technical support in what we did.
5.0,Friendly People,I like the people I work with but the work is quite challenging. Benefits are great. The office is really nice and working remotely is great too! I don't actually work at google. 
5.0,Good,Work-life balance is great. Flexibility is great. The pay scale is great. The benefits are great. Transparency with the manager is great. Transparency with recruiters while getting hired can be improved.
3.0,Good pay,Long hours sometimes plenty of traveling to get to job location unfortunately then you have management come with their picks and chooses no matter how hard you work and how proficient you do the job most of the management that actually go out into the fields or women and for some reason they fear of the women could take their place it seems they only respond well to the men
4.0,Nice place to intern,"learned a lot as an intern and was compensated fairly. the projects can feel a little Made-Up at times, but this is probably in large part due to being an intern. "
4.0,Interns are treated well here,"Had many great learning opportunities here; I made strong connections with my advisors and felt like my work had an impact. Was provided great direction and the tools needed to perform well. I have reinterviewed with Google many times since then but have not received a full-time offer. Last Google recruiter I worked with was by far the best I’ve encountered in the industry. Professional, polite, uplifting and most importantly extremely engaged in my success during the process."
5.0,Welcoming and Friendly,"I enjoyed working at Google. Although it was temporary contract work, I was able to see the country and travel which I love to do. The managers were great and always accomadating."
5.0,Great,Great. No worries. Go ahead and join. Google is the best company anyone can look to work in. Talent is given utmost importance here. Work culture is great  
5.0,AnaIng,I love the work I do for the google search engine services I love the android platform and I cannot wait to share my experience it is a fun place to be 
5.0,Un meilleur cadre professionnel ,on peut travailler relaxe. et le contacte entre les agents et la direction est tres fluide.la Salle de pause est tres séduisante. les bureau comfortable
5.0,It was a good job to have in a small community.,"My original manager was excellent, he knew what was going on at all times. He left the office and checked on you, he also made every effort to make employees feel appreciated. He had done the job, he knew that it wasn't always pleasant lugging that mail satchel around in rain, sleet, hail or snow.The last manager I had, never left the office. She managed by reading emails from headquarters. I have an excellent work ethic, I don't feel the company I work for owes me anything that I don't earn.The hardest part of the job as a carrier was probably delivering in deep snow, it was very taxing.The most enjoyable part was when it was sunny and 75, no better job to have."
5.0,Environnement agréable,En attente d'une meilleure experience professionnelle et monter en competence 
5.0,Great culture great benefit,"Great company to work with, hoping to stay for a long time.Awesome perks and benefit (6 months paid maternity leave) Free breakfast (many cafes), lunch (many cafes) and dinner (limited cafes) Very good and mostly laid back culture, except for GCP Great salary"
5.0,Environnement de travail productif et agréable,"FUN, Environnement de travail productif et agréable"
5.0,very easy to use and also very productive,A typical day at work is just like very important because the working environment because you learn a lot and the culture of the worklace is a very enliven enviromment in which everybody fells at ease in what he is doing. the most enjoyable part is when evryone is concerned and help each other.
5.0,very easy to use,that a very great firm who have great future i wish it good luck in placement for people working in Canada nowadays help people to have job is a privilege i think so that firm is adapt to this kind of work
5.0,Great Company,I cant say anything bad about the company but being an employee here you need to be competitive so you can get a high appraisal.It is hard to get regularized here
5.0,Good culture and place to work ,Great culture and place to work for entry level. Never a dull moment. They are a very inclusive company not wanting to leave anyone out. Several programs and fun parties for employees.
4.0,Productive and fun place to work.,Productive and fun place to work. People are chill and help when needed. Tasks are exciting and you can learn alot with different tools. Overall it is an above average place to work.
3.0,productibe,it was a good workplace. googled many things for google. google has google options and many benifits if you can google well. google with google now it 
5.0,exclelente Google,Mi experiencia es esta empresa fue gratificante. Amé a todo el equipo
4.0,Chill and relaxed driving work but little pay. (Google Street View),"Worked for Google streetview and was a cool and relaxed experience. You mostly just drive around with the maps they give you. Once you know how to operate the camera and gear, it becomes easy and straight forward. Every now and then someone decides to flip off the camera but most of the time it's just relaxed driving. The only problem is that they only pay you a little above minimum wage and that it's a temporary job."
5.0,Best place to work,"Great work life balance, nice tech stack, amazing work environment and supportive team. Not to mention unmatchable benefits suchs as medical insurance. Everything provided is of great standard and they provide you the best in class accessories for the work."
5.0,Productive workplace with a lot of amenities ,The day starts off with being bombarded with productivity. The atmosphere allows for growth of all employees in all positions. Managers are focused on the success of their teams rather than themselves.
5.0,Good place,"Very good place indeed to work or visit. I would recommend this company. Good place if you're interested in anything stem and such, very good. good place "
5.0,Focused on solutions,"The 6am meetings for a night owl such as myself were meh just to think about but as time went on, I actually looked forward to our Friday early morning meetings. Now if the meeting was in the office at that time, I can't say that I would have grown to love it but... We were on Chromebooks, tablets, and Google meet... All of which they provided, so my meetings like many of my other coworkers were from bed. As for the other task, I totally loved what I did because I felt like I was working with a real purpose in the world. The only part that really felt like work for me was the very long detailed reports that needed to be in by deadline. "
5.0,Fun ,Standard experience basic training fair pay good benefits standard hours worked short time would recommend based off experience workplace is growing often 
5.0,Really fun place good people and good everything with free food,Everything is super good no complaints always people will just like keep eating food and bringing it home and taking advantage and there are these mini bars that i love 
3.0,Fun place to work as no great benefits if you are full time. TVcs do not get the same access to things.,Cons: Poor management and not a good work/life balance if you are a recruiter. You are always trying to keep up with metrics and meet them even if it takes from your personal time. 
5.0,Focused towards great work life balance,"What really stands out is the flexibility and work life balance, the perks make your life very convenient which allows you to genuinely have free time after work rather than constantly stressed about having to cook food or stuff like that. Furthermore, there are a lot of perks for learning, which helps further your career and self development."
4.0,It's an amazing place to work," Great work/life balance. It is one of the few companies that have a consistent work week and pays well. Overall, it is a good company for software engineers."
4.0,okay place,this is an okay place to work. i like my coworkers and my job but benefits not great and could be paid more somewhere else for less work most likely. 
5.0,Take the leap,This is a great company to grow as a professional. There is a lot of room for growth internally and upper management always has your best interests in mind. 
5.0,Great culture great benefit,"Great company to work with, hoping to stay for a long time.Awesome perks and benefit (6 months paid maternity leave) Free breakfast (many cafes), lunch (many cafes) and dinner (limited cafes) Very good and mostly laid back culture, except for GCP Great salary"
5.0,Fun work place ,"City of Dallas is at it’s worst, leadership isn’t properly trained. Management isn’t understanding how employees need to be treated right. Pay is horrible,especially compared to other citys in the state.Was this review helpful?"
3.0,Productive and fun workplace to work on,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental,"
4.0,"Love to work here overall, work lift balance, and nice/ great colleagues.","Overall it's good place to work here, and nice manager and talents here.You can find opportunities internally, grow yourself quickly, learn from more people."
5.0,Great place to work,This is a great lace to grow as a professional. There is a lot of room for growth internally and management always has your best interest in mind. Great experience!
3.0,Productive but stressful,"The workplace itself was good, however management will frequently leer down on you and takes all credit for your own achievements. Very upsetting overall"
5.0,Dream job,"This is one of the best place to work in the world. I couldn't ask for more. The culture is amazing, the benefits are unbeatable, well that's Google, I'm blessed to be working here"
1.0,Slave labor,"The workplace itself was good, however management will frequently leer down on you and takes all credit for your own achievements. Very upsetting overall"
3.0,cool place to be,"Good place to meet business contacts and learn about tech. Cool and fun in office perks, but nothing too flashy. Cool and interesting people overall. Schedule flexibility could be better. "
3.0,Good ,Working at Google was great working tjeee was fun I enjoyed myself and the staff culture was too much fun pizza all the time and free drinks and daysOff
3.0,Company culture and politics ,"Direct communication style can be seen as ""out of the norm"" at times. Everyone seem to be playing to cooperate dance when it comes to building relationships and it doesn't feel genuine. "
5.0,"Worked as a contractor software engineer, work time flexibility was great but worker empowerment was low for contractors. ","Worked as a contractor software engineer, work time flexibility was great but worker empowerment was low for contractors. Contractors are treated as second-class citizens within Google."
